#Neuron	Soma Position	Soma Region	 Span 	 Ambiguity 	TotHead	TotTail	TotMid	S_Head	R_Head	S_Mid	R_Mid	S_Tail	R_Tail	 AY Ganglion Designation	 AYNbr	Functions	Neurotransmitters
PQR	0.82	T	L		0	44	0	0	0	0	0	35	5	K	213	S	
PVCL	0.82	T	L		66	42	80	38	25	35	42	9	25	K	214	I	
PVCR	0.82	T	L		65	45	76	33	30	38	19	7	34	K	215	I	
PVDL	0.65	M	L	MTS	0	21	2	0	0	2	0	19	2	F	179	I	GLU
PVDR	0.65	M	L	MTS	0	42	1	0	0	1	0	42	0	F	180	I	GLU
PVM	0.65	M	S		0	20	19	0	0	18	1	15	2	F	181	S	
PVNL	0.83	T	L	MAS	18	39	2	9	9	2	0	32	4	K	216	I	
PVNR	0.83	T	L	MAS	20	33	9	11	8	8	1	23	10	K	217	I	
PVPL	0.8	T	L		44	1	20	26	8	0	2	0	0	H	190	I	
PVPR	0.79	T	L		55	1	24	38	9	5	2	0	0	H	191	I	
PVQL	0.82	T	L		37	6	2	14	17	0	2	0	4	K	218	I	
PVQR	0.81	T	L		37	6	14	17	15	4	8	2	2	K	219	I	
PVR	0.82	T	L		35	11	10	28	6	5	3	2	5	K	220	S	GLU
PVT	0.79	T	L		45	6	11	37	2	0	11	0	5	H	192	I	
PVWL	0.83	T	L	MAS	0	12	1	0	0	1	0	4	6	K	221	I	
PVWR	0.83	T	L	MAS	0	8	0	0	0	0	0	5	2	K	222	I	
RIAL	0.13	H	S		208	0	0	96	112	0	0	0	0	C	89	I	
RIAR	0.13	H	S		196	0	0	99	97	0	0	0	0	C	90	I	
RIBL	0.15	H	S		91	0	1	20	52	0	0	0	0	C	91	I	
RIBR	0.15	H	S		90	0	1	17	54	0	0	0	0	C	92	I	
RICL	0.16	H	S		56	0	0	28	23	0	0	0	0	C	93	I	
RICR	0.17	H	S		50	0	0	22	25	0	0	0	0	C	94	I	
RID	0.11	H	L	MD	17	0	25	0	13	21	0	0	0	B	42	M	
RIFL	0.22	H	S		30	0	3	23	7	0	1	0	0	E	156	I	
RIFR	0.21	H	S		49	0	1	37	12	0	0	0	0	E	157	I	
RIGL	0.23	H	S		66	0	5	16	33	0	2	0	0	E	158	I	
RIGR	0.22	H	S		58	0	3	14	29	0	3	0	0	E	159	I	
RIH	0.14	H	S		108	0	1	75	27	0	1	0	0	D	118	I	
RIML	0.15	H	S		90	0	0	26	54	0	0	0	0	C	95	M	
RIMR	0.16	H	S		119	0	0	40	67	0	0	0	0	C	96	M	
RIPL	0.09	H	S		51	0	0	2	48	0	0	0	0	A	23	I	
RIPR	0.1	H	S		63	0	0	2	60	0	0	0	0	A	24	I	
RIR	0.15	H	S		58	0	0	33	23	0	0	0	0	D	119	I	
RIS	0.19	H	S		68	0	1	50	11	0	0	0	0	D	120	I	GABA
RIVL	0.14	H	S		26	0	0	14	6	0	0	0	0	C	97	MI	
RIVR	0.15	H	S		36	0	0	21	8	0	0	0	0	C	98	MI	
RMDDL	0.14	H	S		86	0	0	15	67	0	0	0	0	D	121	M	
RMDDR	0.15	H	S		94	0	0	23	67	0	0	0	0	D	122	M	
RMDL	0.13	H	S		73	0	0	26	45	0	0	0	0	C	99	M	
RMDR	0.13	H	S		66	0	0	20	45	0	0	0	0	C	100	M	
RMDVL	0.12	H	S		86	0	0	15	64	0	0	0	0	C	101	M	
RMDVR	0.12	H	S		85	0	0	15	62	0	0	0	0	C	102	M	
RMED	0.1	H	L		26	0	0	12	9	0	0	0	0	A	25	M	GABA
RMEL	0.1	H	L		33	0	0	12	19	0	0	0	0	A	26	M	GABA
RMER	0.11	H	S		42	0	0	15	26	0	0	0	0	A	27	M	GABA
RMEV	0.12	H	S		36	0	1	6	22	0	1	0	0	A	28	M	GABA
RMFL	0.15	H	S		27	0	3	16	10	1	2	0	0	D	123	M	
RMFR	0.15	H	S		18	0	3	8	10	0	3	0	0	D	124	M	
RMGL	0.22	H	S		52	0	0	31	12	0	0	0	0	E	160	M	
RMGR	0.22	H	S		42	1	0	27	10	0	0	0	0	E	161	M	
RMHL	0.14	H	S		26	0	0	9	13	0	0	0	0	D	125	M	
RMHR	0.15	H	S		24	0	0	9	14	0	0	0	0	D	126	M	
SAADL	0.14	H	S	MS	42	0	0	17	24	0	0	0	0	D	127	I	ACh
SAADR	0.14	H	S	MS	38	0	0	16	21	0	0	0	0	D	128	I	ACh
SAAVL	0.12	H	S	MS	61	0	0	44	13	0	0	0	0	C	103	I	ACh
SAAVR	0.13	H	S	MS	40	0	0	26	11	0	0	0	0	C	104	I	ACh
SABD	0.23	H	S	MS	0	0	32	0	0	1	21	0	0	E	162	I	ACh
SABVL	0.2	H	S	MS	0	2	28	0	0	0	23	0	1	E	163	I	ACh
SABVR	0.2	H	S	MS	0	0	17	0	0	0	12	0	0	E	164	I	ACh
SDQL	0.64	M	L	MS	17	0	0	14	2	0	0	0	0	F	182	I	ACh
SDQR	0.32	M	L	MS	30	0	0	22	0	0	0	0	0	F	183	I	ACh
SIADL	0.15	H	S	MS	6	0	0	0	5	0	0	0	0	D	129	I	ACh
SIADR	0.16	H	S	MS	5	0	0	0	4	0	0	0	0	D	130	I	ACh
SIAVL	0.17	H	S	MS	8	0	0	0	7	0	0	0	0	D	131	I	ACh
SIAVR	0.17	H	S	MS	9	0	0	0	8	0	0	0	0	D	132	I	ACh
SIBDL	0.14	H	S	MS	5	0	0	0	3	0	0	0	0	C	105	I	ACh
SIBDR	0.14	H	S	MS	10	0	0	0	7	0	0	0	0	C	106	I	ACh
SIBVL	0.14	H	S	MS	14	0	0	0	9	0	0	0	0	D	133	I	ACh
SIBVR	0.15	H	S	MS	11	0	0	0	7	0	0	0	0	D	134	I	ACh
SMBDL	0.15	H	S	MS	38	0	0	14	20	0	0	0	0	D	135	M	ACh
SMBDR	0.17	H	S	MS	39	0	1	18	16	0	1	0	0	D	136	M	ACh
SMBVL	0.16	H	S	MS	39	0	0	15	22	0	0	0	0	D	137	M	ACh
SMBVR	0.16	H	S	MS	34	0	0	13	16	0	0	0	0	D	138	M	ACh
SMDDL	0.14	H	S	MS	61	0	0	10	47	0	0	0	0	D	139	M	ACh
SMDDR	0.15	H	S	MS	73	0	1	6	64	0	0	0	0	D	140	M	ACh
SMDVL	0.12	H	S	MS	61	0	0	21	34	0	0	0	0	C	107	M	ACh
SMDVR	0.13	H	S	MS	68	0	0	21	40	0	0	0	0	C	108	M	ACh
URADL	0.08	H	L		19	0	0	12	7	0	0	0	0	A	29	MS	
URADR	0.09	H	L		20	0	0	15	5	0	0	0	0	A	30	MS	
URAVL	0.1	H	L		21	0	0	16	5	0	0	0	0	A	31	MS	
URAVR	0.11	H	L		22	0	0	17	5	0	0	0	0	A	32	MS	
URBL	0.09	H	L		18	0	3	11	5	0	3	0	0	A	33	S	
URBR	0.1	H	L		25	0	0	19	3	0	0	0	0	A	34	S	
URXL	0.12	H	L		40	0	0	26	13	0	0	0	0	B	43	SI	
URXR	0.13	H	L		37	0	0	21	14	0	0	0	0	B	44	SI	
URYDL	0.08	H	L		23	0	0	16	5	0	0	0	0	A	35	S	
URYDR	0.09	H	L		21	0	0	17	2	0	0	0	0	A	36	S	
URYVL	0.09	H	L		26	0	0	23	1	0	0	0	0	A	37	S	
URYVR	0.1	H	L		29	0	0	25	2	0	0	0	0	A	38	S	
VA01	0.23	M	S		0	0	40	0	0	22	13	0	0	E	165	M	ACh
VA02	0.27	M	S		0	0	73	0	0	47	15	0	0	G	249	M	ACh
VA03	0.31	M	S		0	0	90	0	0	65	19	0	0	G	250	M	ACh
VA04	0.37	M	S		0	0	68	0	0	52	8	0	0	G	251	M	ACh
VA05	0.43	M	S		0	0	60	0	0	39	9	0	0	G	252	M	ACh
VA06	0.5	M	S		0	0	67	0	0	49	10	0	0	G	253	M	ACh
VA07	0.55	M	S		0	0	60	0	0	51	1	0	0	G	254	M	ACh
VA08	0.6	M	S		0	0	110	0	0	57	26	0	0	G	255	M	ACh
VA09	0.66	M	S		0	0	92	0	0	55	26	0	0	G	256	M	ACh
VA10	0.71	M	S	RVI	0	0	12	0	0	0	10	0	0	G	247	M	ACh
VA11	0.77	M	S	RVI	0	0	64	0	0	35	21	0	0	G	248	M	ACh
VA12	0.8	M	S		0	0	71	0	0	52	15	0	0	H	193	M	ACh
VB01	0.21	M	S		24	0	30	19	4	15	4	0	0	E	166	M	ACh
VB02	0.19	M	S		0	0	82	0	0	61	7	0	0	E	167	M	ACh
VB03	0.28	M	S		0	0	80	0	0	73	3	0	0	G	259	M	ACh
VB04	0.32	M	S		0	0	53	0	0	42	6	0	0	G	260	M	ACh
VB05	0.38	M	S		0	0	65	0	0	56	5	0	0	G	261	M	ACh
VB06	0.45	M	S		0	0	79	0	0	69	5	0	0	G	262	M	ACh
VB07	0.5	M	S	RVI	0	0	14	0	0	4	4	0	0	G	263	M	ACh
VB08	0.57	M	S		0	0	113	0	0	85	11	0	0	G	264	M	ACh
VB09	0.61	M	S		0	0	72	0	0	38	5	0	0	G	265	M	ACh
VB10	0.67	M	S	RVI	0	0	44	0	0	33	6	0	0	G	257	M	ACh
VB11	0.72	M	S	RVI	0	0	31	0	0	23	4	0	0	G	258	M	ACh
VC01	0.33	M	S		0	0	64	0	0	47	7	0	0	G	266	M	ACh
VC02	0.38	M	S		0	0	76	0	0	58	10	0	0	G	267	M	ACh
VC03	0.46	M	S		0	0	85	0	0	61	13	0	0	G	268	M	ACh
VC04	0.53	M	S		0	0	19	0	0	15	1	0	0	G	269	M	ACh
VC05	0.55	M	S		0	0	21	0	0	14	4	0	0	G	270	M	ACh
VD01	0.25	M	S		0	0	98	0	0	15	61	0	0	E	168	M	GABA
VD02	0.26	M	S		0	0	112	0	0	32	65	0	0	E	169	M	GABA
VD03	0.31	M	S		0	0	111	0	0	27	80	0	0	G	273	M	GABA
VD04	0.36	M	S		0	0	101	0	0	25	71	0	0	G	274	M	GABA
VD05	0.42	M	S		0	0	109	0	0	31	74	0	0	G	275	M	GABA
VD06	0.47	M	S		0	0	103	0	0	31	69	0	0	G	276	M	GABA
VD07	0.52	M	S	RDM	0	0	54	0	0	24	28	0	0	G	277	M	GABA
VD08	0.59	M	S	RDM	0	0	37	0	0	30	5	0	0	G	278	M	GABA
VD09	0.64	M	S	RDM	0	0	55	0	0	28	21	0	0	G	279	M	GABA
VD10	0.69	M	S	RDM	0	0	43	0	0	25	7	0	0	G	271	M	GABA
VD11	0.74	M	S	RDI	0	0	18	0	0	15	3	0	0	G	272	M	GABA
VD12	0.79	M	S	RDI	0	0	34	0	0	20	14	0	0	H	194	M	GABA
VD13	0.8	M	S	RDI	0	0	45	0	0	17	26	0	0	H	195	M	GABA
